learning_rate,batch_size,train_freq,gradient_steps,ent_coef,learning_starts,buffer_size,policy_kwargs,reward
0.0001,64,1,1,auto,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",186.89205994963646
0.0001,64,1,1,auto,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",182.46326470136643
0.0001,64,1,1,auto,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",231.38267562031746
0.0001,64,1,1,auto,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",215.89378572702407
0.0001,64,1,1,auto,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",194.1731837129593
0.0001,64,1,1,auto,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",186.6103231692314
0.0001,64,1,1,auto,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",176.9101290178299
0.0001,64,1,1,auto,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",211.8046344792843
0.0001,64,1,1,auto,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",215.47322408437728
0.0001,64,1,1,auto,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",112.07555042982102
0.0001,64,1,1,auto,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",142.4105623292923
0.0001,64,1,1,auto,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",28.601830002069473
0.0001,64,1,1,auto,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",42.76663750529289
0.0001,64,1,1,auto,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",62.168124777376654
0.0001,64,1,1,auto,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",14.322437722980975
0.0001,64,1,1,auto,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",26.083353332281114
0.0001,64,1,1,auto,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",58.03822709441185
0.0001,64,1,1,auto,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",26.703938559293746
0.0001,64,1,1,auto,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",31.121576427668334
0.0001,64,1,1,auto,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",19.82106705546379
0.0001,64,1,1,auto,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",32.11425272524357
0.0001,64,1,1,auto,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",37.60030087947845
0.0001,64,1,1,auto,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",91.74038132548333
0.0001,64,1,1,auto,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",26.537625620365144
0.0001,64,1,1,auto,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",105.81715429902077
0.0001,64,1,1,auto,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",25.14247379541397
0.0001,64,1,1,auto,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",44.18488316702395
0.0001,64,1,1,0.1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",171.57946406483651
0.0001,64,1,1,0.1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",180.16084910750388
0.0001,64,1,1,0.1,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",173.35995563030244
0.0001,64,1,1,0.1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",177.80170817375182
0.0001,64,1,1,0.1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",173.96888696551324
0.0001,64,1,1,0.1,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",167.5135115456581
0.0001,64,1,1,0.1,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",126.91782069563865
0.0001,64,1,1,0.1,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",175.10381321310996
0.0001,64,1,1,0.1,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",180.5154611301422
0.0001,64,1,1,0.1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",70.84511141180992
0.0001,64,1,1,0.1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",23.861024191379546
0.0001,64,1,1,0.1,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",76.71626971960067
0.0001,64,1,1,0.1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",18.78789783358574
0.0001,64,1,1,0.1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",39.05829647293838
0.0001,64,1,1,0.1,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",29.540571972077014
0.0001,64,1,1,0.1,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",23.66067888763202
0.0001,64,1,1,0.1,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",17.19369714582921
0.0001,64,1,1,0.1,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",18.66677192926407
0.0001,64,1,1,0.1,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",18.086725891828536
0.0001,64,1,1,0.1,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",16.468777401447298
0.0001,64,1,1,0.1,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",43.26260123372078
0.0001,64,1,1,0.1,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",43.923180108070376
0.0001,64,1,1,0.1,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",18.533493834733964
0.0001,64,1,1,0.1,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",16.93760774731636
0.0001,64,1,1,0.1,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",52.9747464966774
0.0001,64,1,1,0.1,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",41.411223475709555
0.0001,64,1,1,0.1,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",53.77400272071362
0.0001,64,1,1,0.01,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",200.17288544893265
0.0001,64,1,1,0.01,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",188.263512147665
0.0001,64,1,1,0.01,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",136.57932858586312
0.0001,64,1,1,0.01,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",140.573924087286
0.0001,64,1,1,0.01,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",205.94058388352394
0.0001,64,1,1,0.01,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",158.50718895435332
0.0001,64,1,1,0.01,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",196.7056056523323
0.0001,64,1,1,0.01,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",329.4645657551289
0.0001,64,1,1,0.01,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",173.21144859194754
0.0001,64,1,1,0.01,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",13.19289404985262
0.0001,64,1,1,0.01,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",71.86039774775504
0.0001,64,1,1,0.01,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",29.865855634212494
0.0001,64,1,1,0.01,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",40.193976384401324
0.0001,64,1,1,0.01,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",48.11378263503313
0.0001,64,1,1,0.01,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",20.78487564921379
0.0001,64,1,1,0.01,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",133.12295539855958
0.0001,64,1,1,0.01,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",41.70599856376648
0.0001,64,1,1,0.01,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",39.75596270084381
0.0001,64,1,1,0.01,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",195.77804920911788
0.0001,64,1,1,0.01,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",185.79441574960947
0.0001,64,1,1,0.01,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",15.605403091893532
0.0001,64,1,1,0.01,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",44.479549477313995
0.0001,64,1,1,0.01,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",30.087753540277483
0.0001,64,1,1,0.01,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",20.208511328697206
0.0001,64,1,1,0.01,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",24.447387907505036
0.0001,64,1,1,0.01,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",23.23155201137066
0.0001,64,1,1,0.01,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",16.301145319492207
0.0001,64,1,4,auto,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",502.6784840017557
0.0001,64,1,4,auto,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",221.52550725817682
0.0001,64,1,4,auto,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",109.38960906744003
0.0001,64,1,4,auto,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",183.34078662037848
0.0001,64,1,4,auto,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",229.65334120750427
0.0001,64,1,4,auto,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",261.947131806612
0.0001,64,1,4,auto,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",157.77460198402406
0.0001,64,1,4,auto,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",150.43760169267654
0.0001,64,1,4,auto,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",276.2851713466644
0.0001,64,1,4,auto,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",11.126277181506158
0.0001,64,1,4,auto,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",52.4471386725828
0.0001,64,1,4,auto,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",10.267173481620848
0.0001,64,1,4,auto,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",10.594113097786904
0.0001,64,1,4,auto,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",46.00971688643098
0.0001,64,1,4,auto,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",22.7214690721035
0.0001,64,1,4,auto,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",14.131509784460068
0.0001,64,1,4,auto,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",26.22665322303772
0.0001,64,1,4,auto,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",21.731241741776465
0.0001,64,1,4,auto,20000,100000,"{'net_arch': [128, 128], 'use_sde': False}",98.29710029482841
0.0001,64,1,4,auto,20000,100000,"{'net_arch': [256, 256], 'use_sde': False}",14.2430795034091
0.0001,64,1,4,auto,20000,100000,"{'net_arch': [400, 300], 'use_sde': False}",20.266404977440835
0.0001,64,1,4,auto,20000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",24.916766518676013
0.0001,64,1,4,auto,20000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",14.476714329769312
0.0001,64,1,4,auto,20000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",26.929114323854446
0.0001,64,1,4,auto,20000,500000,"{'net_arch': [128, 128], 'use_sde': False}",10.971008943617344
0.0001,64,1,4,auto,20000,500000,"{'net_arch': [256, 256], 'use_sde': False}",17.82765344619751
0.0001,64,1,4,auto,20000,500000,"{'net_arch': [400, 300], 'use_sde': False}",21.593523993492127
0.0001,64,1,4,0.1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",78.1358933892846
0.0001,64,1,4,0.1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",198.64326786756516
0.0001,64,1,4,0.1,5000,100000,"{'net_arch': [400, 300], 'use_sde': False}",223.6833326482773
0.0001,64,1,4,0.1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",227.80514577627181
0.0001,64,1,4,0.1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",552.436418287754
0.0001,64,1,4,0.1,5000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",236.30642595887184
0.0001,64,1,4,0.1,5000,500000,"{'net_arch': [128, 128], 'use_sde': False}",531.0965763163566
0.0001,64,1,4,0.1,5000,500000,"{'net_arch': [256, 256], 'use_sde': False}",199.90386837124825
0.0001,64,1,4,0.1,5000,500000,"{'net_arch': [400, 300], 'use_sde': False}",220.6876611340046
0.0001,64,1,4,0.1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",125.45050238490104
0.0001,64,1,4,0.1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",15.780462585687637
0.0001,64,1,4,0.1,10000,100000,"{'net_arch': [400, 300], 'use_sde': False}",198.45616121053695
0.0001,64,1,4,0.1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",51.61642949461937
0.0001,64,1,4,0.1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",99.87165847539902
0.0001,64,1,4,0.1,10000,1000000,"{'net_arch': [400, 300], 'use_sde': False}",26.9494919025898
0.0001,64,1,4,0.1,10000,500000,"{'net_arch': [128, 128], 'use_sde': False}",57.369541631937025
0.0001,64,1,4,0.1,10000,500000,"{'net_arch': [256, 256], 'use_sde': False}",21.124655064344406
0.0001,64,1,4,0.1,10000,500000,"{'net_arch': [400, 300], 'use_sde': False}",43.852412984371185
