learning_rate,batch_size,gradient_steps,learning_starts,buffer_size,policy_kwargs,reward
0.0001,128,1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",213.278053637743
0.0001,128,1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",180.71778186559678
0.0001,128,1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",185.0288863301277
0.0001,128,1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",199.21588037729262
0.0001,128,1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",63.448954968452455
0.0001,128,1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",42.161532604694365
0.0001,128,1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",17.39265856742859
0.0001,128,1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",90.17783193588257
0.0001,128,4,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",41.38476626183605
0.0001,128,4,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",136.18526626972482
0.0001,128,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",275.2139139342308
0.0001,128,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",282.62048562645913
0.0001,128,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",24.86575588333886
0.0001,128,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",170.8684480071068
0.0001,128,4,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",20.57888107895851
0.0001,128,4,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",22.185413629250835
0.0001,256,1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",178.69483753204346
0.0001,256,1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",185.1420914030075
0.0001,256,1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",203.85353848695755
0.0001,256,1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",188.1485294818878
0.0001,256,1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",23.343071384429933
0.0001,256,1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",20.526449936628342
0.0001,256,1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",12.731781959533691
0.0001,256,1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",17.036172301769255
0.0001,256,4,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",184.08516372561454
0.0001,256,4,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",228.34545068979264
0.0001,256,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",202.44534604787827
0.0001,256,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",265.8357719218731
0.0001,256,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",12.725136814117432
0.0001,256,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",49.19187262535095
0.0001,256,4,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",30.880366320610047
0.0001,256,4,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",97.04175620555878
0.0003,128,1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",179.39398768663406
0.0003,128,1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",215.57288077235222
0.0003,128,1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",189.39925574064256
0.0003,128,1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",172.5857390511036
0.0003,128,1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",15.607175139870087
0.0003,128,1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",52.09051665425301
0.0003,128,1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",231.73130504012107
0.0003,128,1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",44.851106123924254
0.0003,128,4,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",313.34731971263886
0.0003,128,4,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",394.7399514937401
0.0003,128,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",229.07770135998726
0.0003,128,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",347.070971378088
0.0003,128,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",29.771555473804472
0.0003,128,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",15.80101597070694
