algo,learning_rate,batch_size,n_steps,final_reward
PPO,0.0001,64,1024,948.82
PPO,0.0001,64,2048,884.24
PPO,0.0001,64,4096,815.45
PPO,0.0001,128,1024,950.7
PPO,0.0001,128,2048,932.08
PPO,0.0001,128,4096,867.99
PPO,0.0001,256,1024,973.78
PPO,0.0001,256,2048,856.09
PPO,0.0001,256,4096,808.53
PPO,0.0003,64,1024,1017.11
PPO,0.0003,64,2048,1104.99
PPO,0.0003,64,4096,634.78
PPO,0.0003,128,1024,829.78
PPO,0.0003,128,2048,808.66
PPO,0.0003,128,4096,945.2
PPO,0.0003,256,1024,704.22
PPO,0.0003,256,2048,772.6
PPO,0.0003,256,4096,883.56
PPO,0.0005,64,1024,894.92
PPO,0.0005,64,2048,991.34
PPO,0.0005,64,4096,730.53
PPO,0.0005,128,1024,828.08
PPO,0.0005,128,2048,1562.37
PPO,0.0005,128,4096,806.22
PPO,0.0005,256,1024,835.44
PPO,0.0005,256,2048,871.96
PPO,0.0005,256,4096,812.37
SAC,0.0001,64,,762.6
SAC,0.0001,128,,1047.31
SAC,0.0001,256,,1075.35
SAC,0.0003,64,,1042.52
SAC,0.0003,128,,1336.15
SAC,0.0003,256,,775.34
SAC,0.0005,64,,1168.08
SAC,0.0005,128,,619.04
SAC,0.0005,256,,933.92
