gamma,hidden,lr_policy,lr_critic,final_return
0.95,32,0.0001,0.0001,76.12411965957487
0.95,32,0.0005,0.0005,231.63838644404433
0.95,32,0.001,0.001,314.7335399058739
0.95,64,0.0001,0.0001,97.83618817990451
0.95,64,0.0005,0.0005,308.15269397904547
0.95,64,0.001,0.001,164.66810670989344
0.95,128,0.0001,0.0001,157.14657777807375
0.95,128,0.0005,0.0005,197.9326353992725
0.95,128,0.001,0.001,210.69335672581596
0.99,32,0.0001,0.0001,55.15994445455891
0.99,32,0.0005,0.0005,101.47380066819402
0.99,32,0.001,0.001,197.25227335653585
0.99,64,0.0001,0.0001,5.388748415971487
0.99,64,0.0005,0.0005,450.3133751728721
0.99,64,0.001,0.001,289.1880427202646
0.99,128,0.0001,0.0001,53.60203505038309
0.99,128,0.0005,0.0005,134.561968729813
0.99,128,0.001,0.001,230.8649616469068
0.995,32,0.0001,0.0001,0.7267063659550801
0.995,32,0.0005,0.0005,314.4939221381815
0.995,32,0.001,0.001,120.09353214346055
0.995,64,0.0001,0.0001,43.00249585453539
0.995,64,0.0005,0.0005,378.29466591183024
0.995,64,0.001,0.001,17.750826961505396
0.995,128,0.0001,0.0001,24.162232237706863
0.995,128,0.0005,0.0005,218.282725628186
0.995,128,0.001,0.001,148.0867780555919
